1;Date;Time;PM1,0;PM2,5;PM10;Temperature;Pressure;Humidity;Gas;Altitude
2;2020,02,20;12:44:02;10;11;8;13,26;1012,44;36,5;14,53;6,75
3;2020,02,20;12:46:35;10;11;8;13,85;1012,44;36,28;23,25;6,75
4;2020,02,20;12:49:35;9;10;7;14,06;1012,42;34,26;29,02;6,91
5;2020,02,20;12:52:35;9;10;7;14,07;1012,38;34,01;33,23;7,25
6;2020,02,20;12:55:35;8;9;6;14,3;1012,36;32,49;36,87;7,41
7;2020,02,20;12:58:36;8;9;6;14,21;1012,3;33,25;39,62;7,91
8;2020,02,20;13:01:36;8;9;6;13,97;1012,25;33,69;42,03;8,33
9;2020,02,20;13:04:36;9;10;7;13,45;1012,25;35,16;44,1;8,33
10;2020,02,20;13:07:36;8;9;6;13,18;1012,21;35,37;46,34;8,66
11;2020,02,20;13:10:36;8;9;6;12,87;1012,17;35,45;47,3;9
12;2020,02,20;13:13:37;8;9;6;12,43;1012,13;36,24;49,53;9,33
13;2020,02,20;13:16:37;8;9;6;12,13;1012,13;37,02;50,15;9,33
14;2020,02,20;13:19:37;8;9;6;11,95;1012,13;36,49;51,56;9,33
15;2020,02,20;13:22:37;9;10;7;11,94;1012,15;36,71;52,17;9,16
16;2020,02,20;13:25:37;9;10;7;11,99;1012,21;36,85;53,5;8,66
17;2020,02,20;13:28:38;17;19;13;12,39;1012,21;35,88;53,16;8,66
18;2020,02,20;13:31:38;10;11;7;12,67;1012,15;34,99;53,16;9,16
19;2020,02,20;13:34:38;8;9;6;12,77;1012,11;34,78;53,74;9,5
20;2020,02,20;13:37:38;8;9;6;12,55;1012,07;34,99;53,98;9,83
21;2020,02,20;13:40:38;8;9;6;12,22;1012,07;35,52;55,63;9,83
22;2020,02,20;13:43:39;10;11;8;11,9;1012,05;36,31;57,02;10
23;2020,02,20;13:46:39;9;10;7;11,67;1012,05;37,19;57,81;10
24;2020,02,20;13:49:39;11;12;8;11,75;1012,03;36,62;57,92;10,16
25;2020,02,20;13:52:39;8;9;6;11,77;1012,05;36,71;58,25;10
26;2020,02,20;13:55:40;11;12;8;11,74;1012,03;36,83;58,73;10,16
